TANK BULKHEAD DATA Group 22; Version 37.0
BHD Area [m2], lcg [m], tcg [m], vcg [m], x_min [m], x_max [m]
48.0952,11, 8.0323, 5.2681,10.5,11.5
346.96,44.143, 5, 4.643,24.143,64.143
236.7944,42.9258, 5, 4.317,11,76.3152
29.0128,76.3152, 6.9129, 5.5534,75.8152,76.8152
400,44.143, 0, 0.306,24.143,64.143
346.96,44.143, -5, 4.643,24.143,64.143
86.74,64.143, 0, 4.643,63.643,64.643
86.74,24.143, 0, 4.643,23.643,24.643
48.0952,11, -8.0323, 5.2681,10.5,11.5
236.7944,42.9258, -5, 4.317,11,76.3152
29.0128,76.3152, -6.9129, 5.5534,75.8152,76.8152
