TANK BULKHEAD DATA Group 22; Version 9.0
BHD Area [m2], lcg [m], tcg [m], vcg [m], x_min [m], x_max [m]
41.3289,11, 7.7003, 5.498,10.5,11.5
347.76,44.143, 5, 4.653,24.143,64.143
237.2716,43.1617, 5, 4.3269,11,76.3152
36.5454,76.3152, 7.3143, 5.431,75.8152,76.8152
400,44.143, 0, 0.306,24.143,64.143
347.76,44.143, -5, 4.653,24.143,64.143
86.94,64.143, 0, 4.653,63.643,64.643
86.94,24.143, 0, 4.653,23.643,24.643
41.3289,11, -7.7003, 5.498,10.5,11.5
237.2716,43.1617, -5, 4.3269,11,76.3152
36.5454,76.3152, -7.3143, 5.431,75.8152,76.8152
